Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,1740,168,608,774,482,13,1448,28,58,48.3,34,1,873,6004,2647,118,52,2,19,21,864,814,94.2,23
Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,354,12,68,146,170,28,346,11,33,33.3,13,2,247,1405,824,32,15,7,44,25,317,203,64,35
Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,1379,77,398,599,465,23,1171,12,20,60,12,0,830,3605,2145,81,44,2,14,13,904,841,93,40
Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,1523,87,513,742,350,20,1290,14,27,51.9,18,0,851,3380,1771,61,30,4,28,22,921,871,94.6,31
Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,56,8,32,16,11,2,54,0,1,0,0,0,32,97,42,0,0,0,2,0,35,29,82.9,0
Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,2084,93,481,1193,506,42,1996,17,28,60.7,18,0,1353,4484,2616,111,40,4,29,36,1627,1506,92.6,79
Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,1346,68,355,613,472,44,1165,11,25,44,13,1,849,4339,2638,111,39,9,16,8,901,836,92.8,59
Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,1305,74,410,660,313,21,1151,7,15,46.7,9,0,718,3336,1848,73,27,2,19,15,811,750,92.5,29
James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,363,90,254,109,9,8,343,2,2,100,2,0,204,895,383,8,0,0,1,0,243,237,97.5,1
Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,1249,54,157,587,559,169,1223,22,49,44.9,24,5,639,2364,1168,54,17,10,99,51,1673,907,54.2,205
Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,104,0,5,30,71,28,99,4,5,80,4,0,72,283,93,2,0,2,4,4,125,78,62.4,29
Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,3,0,0,3,0,0,3,0,0,,0,0,2,13,0,0,0,0,1,0,5,2,40,0
Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,715,15,130,302,348,30,663,24,43,55.8,26,0,491,2805,1483,69,25,8,32,30,598,429,71.7,65
Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,497,5,57,232,279,56,495,61,84,72.6,63,1,477,3609,2276,97,31,29,37,35,631,394,62.4,73
Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,125,1,8,59,71,17,123,10,21,47.6,12,4,106,632,276,17,4,5,9,2,142,96,67.6,21
Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,9,0,0,5,4,1,9,1,1,100,1,0,9,30,12,1,0,0,2,0,13,9,69.2,3
Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,683,2,85,328,337,50,659,44,92,47.8,53,13,508,2673,1583,81,27,11,30,25,695,483,69.5,96
Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,336,23,107,144,96,0,252,1,2,50,1,0,141,379,186,6,5,0,1,3,139,133,95.7,4
William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,708,152,472,257,16,4,693,1,2,50,1,0,357,2216,1377,22,2,0,0,0,418,411,98.3,2
Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,1598,21,181,621,905,178,1551,59,78,75.6,60,3,1223,6809,3714,193,49,40,82,90,1553,1200,77.3,204
Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,798,36,180,317,365,34,667,9,15,60,9,2,499,2915,1713,99,39,7,4,10,530,487,91.9,57
Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,263,41,161,112,7,3,257,0,0,,0,0,155,908,419,4,0,0,2,0,179,172,96.1,1
Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,151,5,26,87,50,9,141,2,3,66.7,2,0,82,465,194,7,4,1,5,5,125,88,70.4,14
Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,145,5,25,57,71,18,144,0,4,0,0,0,105,613,392,21,6,8,8,4,145,102,70.3,29
Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,211,24,90,102,36,0,198,0,3,0,0,1,115,676,323,14,7,0,1,3,98,96,98,2
Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,2802,327,1316,1511,88,53,2731,3,4,75,3,0,1813,6903,3629,99,6,0,7,5,2063,2027,98.3,8
Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,1295,182,657,685,38,15,1253,2,5,40,2,1,815,5248,2663,61,6,0,2,1,881,864,98.1,3
Jamie Vardy,eng ENG,FW,Leicester City,34,1987,20.1,414,16,33,168,242,113,379,11,21,52.4,12,0,220,1385,857,49,14,19,22,11,683,283,41.4,123
Joël Veltman,nl NED,DF,Brighton,29,1992,31.9,2218,192,865,1031,446,27,1944,14,31,45.2,15,1,1241,5752,2465,81,23,2,16,15,1304,1250,95.9,15
Jannik Vestergaard,dk DEN,DF,Leicester City,28,1992,6.3,438,96,266,179,8,3,428,3,3,100,3,0,284,1285,565,8,3,0,1,0,303,291,96,0
Nikola Vlašić,hr CRO,FWMF,West Ham,23,1997,6.2,290,1,36,142,135,32,289,7,12,58.3,8,1,230,1321,696,33,11,8,7,13,278,206,74.1,50
Matěj Vydra,cz CZE,FW,Burnley,29,1992,7.5,212,9,23,67,129,43,212,5,10,50,5,0,124,340,157,8,1,0,27,13,360,153,42.5,53
Theo Walcott,eng ENG,MFFW,Southampton,32,1989,4.2,130,3,27,46,63,18,129,1,2,50,1,0,78,363,153,8,3,2,9,3,137,85,62,22
Kyle Walker,eng ENG,DF,Manchester City,31,1990,19.5,1769,45,355,1110,411,22,1619,8,14,57.1,9,1,1282,5420,2323,91,36,6,12,7,1398,1344,96.1,30
Kyle Walker-Peters,eng ENG,DF,Southampton,24,1997,29.3,1735,89,439,812,643,92,1495,51,80,63.8,53,1,1144,7588,4740,231,75,38,31,49,1110,994,89.5,81
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,23,1997,19.9,1363,84,469,614,368,26,1185,36,58,62.1,38,5,860,3993,2244,94,33,4,11,28,881,800,90.8,37
Danny Ward,wls WAL,GK,Leicester City,28,1993,1,38,35,38,0,0,0,29,0,0,,0,0,17,70,17,0,0,0,0,0,18,18,100,0
Joel Ward,eng ENG,DF,Crystal Palace,31,1989,27.6,2019,153,787,973,357,12,1726,17,25,68,18,0,1160,5315,2716,84,28,1,11,23,1219,1177,96.6,15
James Ward-Prowse,eng ENG,MF,Southampton,26,1994,35.7,2454,87,453,1312,791,26,2101,15,25,60,16,0,1311,4876,2196,99,28,2,10,27,1512,1397,92.4,39
Ollie Watkins,eng ENG,FW,Aston Villa,25,1995,32.8,1099,29,71,480,604,186,1067,30,58,51.7,32,0,685,3147,1853,111,24,47,90,76,1519,841,55.4,258
Adam Webster,eng ENG,DF,Brighton,26,1995,15.9,1314,139,679,634,114,16,1284,7,8,87.5,7,1,825,5005,3123,76,22,2,4,4,921,909,98.7,3
Wout Weghorst,nl NED,FW,Burnley,28,1992,16.1,640,22,73,331,262,69,632,14,19,73.7,14,1,363,1120,357,19,6,4,44,33,826,442,53.5,104
Danny Welbeck,eng ENG,FW,Brighton,30,1990,16.4,501,19,42,175,313,95,499,13,26,50,15,0,320,1533,750,48,13,15,50,31,759,375,49.4,110
Timo Werner,de GER,FWMF,Chelsea,25,1996,14.3,563,3,30,204,360,116,548,13,34,38.2,16,3,435,2268,1177,65,12,24,28,28,700,440,62.9,137
Ashley Westwood,eng ENG,MF,Burnley,31,1990,25.4,1405,53,255,818,387,20,1245,11,20,55,11,0,765,2899,1326,37,20,2,18,15,899,820,91.2,23
Ben White,eng ENG,DF,Arsenal,23,1997,32,2111,251,1015,1123,131,21,2051,7,16,43.8,8,2,1388,7856,4466,100,19,2,9,11,1442,1428,99,3
Brandon Williams,eng ENG,DF,Norwich City,20,2000,23.6,1419,122,563,649,338,32,1233,16,32,50,18,0,842,5036,2875,88,38,6,29,29,861,797,92.6,30
Neco Williams,wls WAL,DF,Liverpool,20,2001,0.1,8,0,2,2,4,1,7,2,2,100,2,0,8,34,22,2,0,1,0,0,7,7,100,2
Joe Willock,eng ENG,MF,Newcastle Utd,21,1999,22.6,842,27,198,415,303,66,822,30,68,44.1,39,4,595,3542,1983,85,28,13,35,39,649,495,76.3,62
Callum Wilson,eng ENG,FW,Newcastle Utd,29,1992,15.4,366,13,38,156,197,73,345,14,25,56,16,0,213,775,432,25,9,13,58,29,640,257,40.2,51
Harry Winks,eng ENG,MF,Tottenham,25,1996,10.1,756,23,177,466,158,4,728,5,11,45.5,6,0,523,2585,1095,47,14,1,4,12,597,581,97.3,12
Yoane Wissa,cd COD,FWMF,Brentford,24,1996,14.3,426,13,66,171,210,53,423,17,24,70.8,17,3,271,1405,832,50,10,6,25,12,520,289,55.6,79
Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,460,13,41,247,187,52,455,4,11,36.4,5,0,165,450,194,11,4,1,57,11,645,364,56.4,78
Chris Wood,nz NZL,FW,Burnley,29,1991,15.2,452,12,28,202,234,50,444,5,9,55.6,5,0,195,641,259,17,6,2,51,15,784,356,45.4,90
Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,128,123,128,0,0,0,79,0,0,,0,0,54,350,215,0,0,0,0,0,49,49,100,0
Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,1767,71,345,1020,500,45,1713,18,25,72,18,3,1199,5584,2806,111,39,4,17,24,1369,1297,94.7,59
Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,3.5,149,3,23,57,80,23,147,3,8,37.5,5,0,111,683,377,15,6,6,5,5,170,119,70,32
Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,753,45,209,340,249,19,660,7,13,53.8,9,1,465,2155,1279,61,20,6,13,7,536,471,87.9,31
Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,0,1,0,0,0,1,0,1,0,0,,0,0,1,0,0,0,0,0,1,0,1,1,100,0
Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,1533,15,164,745,778,154,1506,73,140,52.1,78,9,1316,6599,3889,229,77,51,109,141,1716,1162,67.7,233
Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,80,8,42,39,3,1,77,1,2,50,2,1,44,283,172,3,1,0,0,0,48,47,97.9,0
Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,1153,22,189,649,398,22,1070,6,11,54.5,6,1,845,3724,2046,112,41,3,8,8,896,867,96.8,42
Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,14.7,974,12,86,364,569,68,916,35,66,53,37,10,774,3390,1698,103,25,22,27,39,824,702,85.2,119
Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,1206,262,693,544,35,16,1182,2,4,50,3,1,691,3398,1721,33,5,0,4,2,771,755,97.9,3
