Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,0,1,0,0,0.64,0,0,,10,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Cucho,co COL,FWMF,Watford,22,1999,12.7,5,35,10,28.6,2.75,0.78,0.14,0.5,18.7,5,0,0,2.5,2.5,0.07,2.5,2.5
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,1,18,3,16.7,0.52,0.09,0.06,0.33,20.9,0,0,0,0.7,0.7,0.04,0.3,0.3
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,5,26,15,57.7,2.02,1.16,0.19,0.33,15.4,0,0,0,4.7,4.7,0.18,0.3,0.3
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,1,31,8,25.8,0.96,0.25,0.03,0.13,21.1,0,0,0,2,2,0.06,-1,-1
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,0,13,4,30.8,0.65,0.2,0,0,21.2,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,0,1,0,0,0.35,0,0,,14.2,0,0,0,0,0,0.05,0,0
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1,19,7,36.8,0.67,0.25,0.05,0.14,16.3,0,0,0,1.8,1.8,0.09,-0.8,-0.8
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,1,6,2,33.3,2.31,0.77,0.17,0.5,16.4,0,0,0,0.9,0.9,0.15,0.1,0.1
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,2,25,5,20,0.82,0.16,0.08,0.4,7.7,0,0,0,2.8,2.8,0.11,-0.8,-0.8
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,15,77,31,40.3,3.15,1.27,0.19,0.48,18.6,7,0,0,6.4,6.4,0.08,8.6,8.6
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,0,2,0,0,7.2,0,0,,9,0,0,0,0.4,0.4,0.2,-0.4,-0.4
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,0,2,0,0,0.27,0,0,,25.5,0,0,0,0,0,0.02,0,0
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,2,23,10,43.5,1.06,0.46,0.09,0.2,15.2,0,0,0,2.6,2.6,0.11,-0.6,-0.6
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,10,61,27,44.3,2.13,0.94,0.16,0.37,14.9,6,0,0,7.4,7.4,0.12,2.6,2.6
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1,21,3,14.3,0.9,0.13,0.05,0.33,20.7,1,0,0,1.3,1.3,0.06,-0.3,-0.3
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,0,8,4,50,0.7,0.35,0,0,20.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2,18,4,22.2,0.67,0.15,0.11,0.5,10.6,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,4,38,14,36.8,3.57,1.32,0.11,0.29,16,0,0,0,4.5,4.5,0.12,-0.5,-0.5
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,0,13,4,30.8,0.38,0.12,0,0,13.5,4,0,0,1,1,0.08,-1,-1
