Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,1,0,0,7,14,0,10,8,5,0,0,0,53,12,11,52.2
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,2,0,0,1,7,0,0,0,0,0,1,0,142,0,0,
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,7,0,0,49,39,0,6,56,37,0,0,0,312,45,28,61.6
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,2,0,0,16,16,2,55,63,26,0,0,0,207,21,25,45.7
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,25
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,10,0,0,44,60,3,82,38,45,0,0,0,258,23,33,41.1
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,0,0,0,0,3,0,0,0,0,0,0,1,68,0,0,
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,0,0,0,2,2,0,0,13,1,0,0,0,34,10,5,66.7
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,1,0,0,22,16,0,4,14,16,0,0,0,109,21,15,58.3
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,3,0,0,9,9,3,8,4,21,0,0,0,69,13,30,30.2
Junior Firpo,es ESP,DF,Leeds United,24,1996,19,11,0,0,50,20,1,27,33,38,0,0,1,143,32,21,60.4
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,0,0,0,1,0,0,0,0,2,0,0,0,4,2,6,25
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1,0,0,17,38,13,59,17,15,0,0,0,115,8,33,19.5
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,2,0,0,9,8,0,0,16,5,0,0,0,76,23,12,65.7
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,4,0,0,32,40,6,49,47,34,1,0,0,235,29,38,43.3
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,5,0,0,38,21,2,5,30,28,0,0,0,190,14,15,48.3
